====================
Fold 0
X_of_N_33 (X-of-N): 0.4127349509759267
REACTOME.235....Ion.homeostasis (X-of-N): 0.4000253081600318
REACTOME.33....Nonsense.Mediated.Decay..NMD..enhanced.by.the.Exon.Junction.Complex..EJC. (X-of-N): 0.3655944401513231
IPAVS.17....perk (X-of-N): 0.3583560238567728
IPAVS.15....Regulation.of.BetaAR.turnover.via.desensitization.and.sequestration.mechanism (X-of-N): 0.3565628649698797
SMPDB.44....Disulfiram.Action.Pathway (X-of-N): 0.3402579331844825
KEGG.15....Proteoglycans.in.cancer (X-of-N): 0.32932602737875516
Panther_Pathway.47....TCA_cycle (X-of-N): 0.3232123749962053
X_of_N_20 (X-of-N): 0.30467234926743286
X_of_N_2 (X-of-N): 0.2966671133354352
KEGG.83....C.type.lectin.receptor.signaling (X-of-N): 0.29169374010405313
WikiPathways.75....PPAR.signaling (X-of-N): 0.28889506367566026
KEGG.179....Phenylalanine.metabolism (X-of-N): 0.2773411940432515
X_of_N_10 (X-of-N): 0.2768075855479968
IPAVS.1....ANG_II_and_JAK_STAT_interactions_in_mediating_cardiac_myocyte_function (X-of-N): 0.2578099798609269
X_of_N_17 (X-of-N): 0.2561182292931687
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.24255270676074214
REACTOME.22....Neutrophil.degranulation (X-of-N): 0.24202348423795605
REACTOME.8....Metabolism.of.RNA (X-of-N): 0.22799748728121352
X_of_N_16 (X-of-N): 0.21409505158187278
REACTOME.24....Eukaryotic.Translation.Initiation (X-of-N): 0.19928211493000425
REACTOME.345....Attenuation.phase (X-of-N): 0.198921223511768
NetPath.3....AndrogenReceptor (X-of-N): 0.19556800441518
KEGG.46....Colorectal.cancer (X-of-N): 0.19167605661731615
REACTOME.27....rRNA.processing (X-of-N): 0.1916381476328923
X_of_N_11 (X-of-N): 0.1899007612009178
WikiPathways.3....MAPK.Signaling (X-of-N): 0.1883039556984934
IPAVS.9....GSK3beta_regulation_by_signaling (X-of-N): 0.18306038933938004
WikiPathways.87....IL.5.Signaling (X-of-N): 0.17743371210446532
====================
Fold 7
X_of_N_39 (X-of-N): 22.907043208651306
X_of_N_30 (X-of-N): 14.258067579351119
X_of_N_19 (X-of-N): 4.025779110455226
X_of_N_5 (X-of-N): 2.976260617647821
X_of_N_25 (X-of-N): 2.4403299733586143
X_of_N_33 (X-of-N): 1.4627059947969654
X_of_N_26 (X-of-N): 1.456496402811935
X_of_N_28 (X-of-N): 1.4248936380273973
X_of_N_9 (X-of-N): 1.3961554226842274
X_of_N_41 (X-of-N): 1.3287435389187965
REACTOME....Metabolism (X-of-N): 1.1155753239309598
X_of_N_21 (X-of-N): 1.0739034122843554
X_of_N_14 (X-of-N): 1.0679435685730752
X_of_N_8 (X-of-N): 0.9936614509530146
X_of_N_31 (X-of-N): 0.9414444322362305
X_of_N_11 (X-of-N): 0.9327070885173332
X_of_N_35 (X-of-N): 0.8844965204945268
KEGG.180....Ubiquinone.and.other.terpenoid.quinone.biosynthesis (X-of-N): 0.8505244345102652
X_of_N_37 (X-of-N): 0.8138700903656639
X_of_N_2 (X-of-N): 0.7895078174660759
X_of_N_12 (X-of-N): 0.77340026981983
X_of_N_7 (X-of-N): 0.7662243557541196
X_of_N_10 (X-of-N): 0.7573138657514702
X_of_N_36 (X-of-N): 0.6955155848100284
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.6812712503408958
X_of_N_32 (X-of-N): 0.6732702702048028
X_of_N_24 (X-of-N): 0.6179576337632235
IPAVS.3....GP130_JAK_STAT (X-of-N): 0.6035492703737707
X_of_N_40 (X-of-N): 0.5849199365064026
X_of_N_4 (X-of-N): 0.551918840130487
WikiPathways.23....Ciliary.landscape (X-of-N): 0.5480216429859937
X_of_N_15 (X-of-N): 0.5430533931061328
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 0.5205673637165247
REACTOME.11....Infectious.disease (X-of-N): 0.5192669283551494
REACTOME.32....Influenza.Life.Cycle (X-of-N): 0.49961966197949875
INOH.10....Tryptophan.degradation (X-of-N): 0.49514808100774615
X_of_N_34 (X-of-N): 0.47691963953238703
X_of_N_38 (X-of-N): 0.46826405736043664
X_of_N_27 (X-of-N): 0.4441968250615503
REACTOME.12....Metabolism.of.lipids (X-of-N): 0.43820708260193886
X_of_N_29 (X-of-N): 0.40832870179588865
REACTOME.26....Influenza.Infection (X-of-N): 0.4020005232466234
X_of_N_42 (X-of-N): 0.3968139948668745
ACSN2.22....ER_STRESS (X-of-N): 0.3861472322843304
INOH.6....CD4.T.cell.receptor.signaling (X-of-N): 0.36901968382577327
Panther_Pathway.12....Apoptosis_signaling (X-of-N): 0.3658696530042856
REACTOME.8....Metabolism.of.RNA (X-of-N): 0.3589201943466676
SMPDB.44....Disulfiram.Action.Pathway (X-of-N): 0.35330015010603427
X_of_N_1 (X-of-N): 0.34229288432916843
KEGG.57....AGE.RAGE.signaling.pathway.in.diabetic.complications (X-of-N): 0.3385992872420204
====================
Fold 8
X_of_N_37 (X-of-N): 28.553721391439655
X_of_N_24 (X-of-N): 6.67238444376766
X_of_N_6 (X-of-N): 3.664761126929817
X_of_N_1 (X-of-N): 3.628874473959183
X_of_N_20 (X-of-N): 2.887578857779174
X_of_N_41 (X-of-N): 2.5240535077827513
X_of_N_10 (X-of-N): 2.427559797884848
X_of_N_23 (X-of-N): 2.124398055513065
X_of_N_18 (X-of-N): 1.6293970586587192
X_of_N_13 (X-of-N): 1.09841082298619
X_of_N_31 (X-of-N): 1.0366617352577987
X_of_N_25 (X-of-N): 0.9629444400631445
X_of_N_22 (X-of-N): 0.9464048074182694
WikiPathways.23....Ciliary.landscape (X-of-N): 0.8669865266098583
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.8498531814138585
X_of_N_15 (X-of-N): 0.828695083574402
X_of_N_8 (X-of-N): 0.813859057300805
X_of_N_19 (X-of-N): 0.7918047749797748
REACTOME.73....Host.Interactions.of.HIV.factors (X-of-N): 0.6600096319716648
REACTOME.71....Fatty.acid.metabolism (X-of-N): 0.6570873977512189
X_of_N_2 (X-of-N): 0.6239881616162617
REACTOME....Metabolism (X-of-N): 0.6023161355082064
X_of_N_11 (X-of-N): 0.5469825490634025
systems.biology.org....Macrophage_Map_Update_ver2_re (X-of-N): 0.5462475771605457
REACTOME.344....Association.of.TriC.CCT.with.target.proteins.during.biosynthesis (X-of-N): 0.5238494576539604
X_of_N_36 (X-of-N): 0.5191405008093447
KEGG.144....Glutathione.metabolism (X-of-N): 0.5052565011565204
X_of_N_16 (X-of-N): 0.4808072689865722
X_of_N_28 (X-of-N): 0.46108720198616066
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 0.4494287894743515
ACSN2.14....MAPK (X-of-N): 0.44253433540773596
ACSN2.9....CASPASES (X-of-N): 0.43466865227323326
REACTOME.8....Metabolism.of.RNA (X-of-N): 0.43122053898503987
X_of_N_14 (X-of-N): 0.4172240252700534
SMPDB.112....Acetaminophen.Metabolism.Pathway (X-of-N): 0.4017616449770565
INOH.37....Lysine.degradation (X-of-N): 0.4011335946904227
REACTOME.11....Infectious.disease (X-of-N): 0.39357357487709055
REACTOME.18....Signaling.by.Interleukins (X-of-N): 0.36292105865525676
ACSN2.22....ER_STRESS (X-of-N): 0.3604144558433467
X_of_N_34 (X-of-N): 0.3534539795442859
INOH.10....Tryptophan.degradation (X-of-N): 0.3408442935085415
X_of_N_26 (X-of-N): 0.33290430014811095
REACTOME.54....MAPK1.MAPK3.signaling (X-of-N): 0.3286779230404867
X_of_N_35 (X-of-N): 0.31174350212761437
Panther_Pathway.12....Apoptosis_signaling (X-of-N): 0.2949213259411396
X_of_N_21 (X-of-N): 0.29397406714104385
X_of_N_40 (X-of-N): 0.2883458881664359
WikiPathways.80....TCA.Cycle..aka.Krebs.or.citric.acid.cycle. (X-of-N): 0.28571375433136775
X_of_N_5 (X-of-N): 0.2855494227954049
KEGG.17....Human.T.cell.leukemia.virus.1.infection (X-of-N): 0.2815734354317113
====================
Fold 9
X_of_N_9 (X-of-N): 30.426127754273548
X_of_N_30 (X-of-N): 8.58932489323714
X_of_N_6 (X-of-N): 6.587245712498914
X_of_N_8 (X-of-N): 3.4305466665425524
X_of_N_1 (X-of-N): 2.635591743382152
X_of_N_12 (X-of-N): 2.3061954495463497
X_of_N_4 (X-of-N): 2.0455562992281746
X_of_N_19 (X-of-N): 1.5809876624941102
X_of_N_22 (X-of-N): 1.4330440473049595
REACTOME.9....Transport.of.small.molecules (X-of-N): 1.204173210781099
X_of_N_20 (X-of-N): 1.1937126959607856
X_of_N_14 (X-of-N): 1.025605529277303
WikiPathways.23....Ciliary.landscape (X-of-N): 1.0142203617245977
EHMN.5....Arachidonic.acid.metabolism (X-of-N): 0.7997830577055717
X_of_N_3 (X-of-N): 0.7848881816220151
systems.biology.org.1....beta_cell_v2.3 (X-of-N): 0.6940389157920646
X_of_N_34 (X-of-N): 0.6835795600909443
X_of_N_5 (X-of-N): 0.6776011457126849
KEGG.15....Proteoglycans.in.cancer (X-of-N): 0.6622153370677331
X_of_N_13 (X-of-N): 0.6538937822894417
Panther_Pathway.12....Apoptosis_signaling (X-of-N): 0.5779306981733957
X_of_N_35 (X-of-N): 0.5775002738016785
REACTOME....Metabolism (X-of-N): 0.5770278270410523
ACSN2.22....ER_STRESS (X-of-N): 0.5050831841723785
KEGG.111....Autophagy...other (X-of-N): 0.5030082571938046
X_of_N_28 (X-of-N): 0.49609630116373094
KEGG.60....Hepatocellular.carcinoma (X-of-N): 0.4640737668444149
X_of_N_18 (X-of-N): 0.4582283430541919
INOH.10....Tryptophan.degradation (X-of-N): 0.44424266249238015
KEGG.162....Legionellosis (X-of-N): 0.4368356238718046
X_of_N_29 (X-of-N): 0.4253055781841617
SMPDB.112....Acetaminophen.Metabolism.Pathway (X-of-N): 0.408685837626956
KEGG.59....Gastric.cancer (X-of-N): 0.37488745195377604
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 0.34161235021547004
X_of_N_21 (X-of-N): 0.33237740194313464
X_of_N_7 (X-of-N): 0.3164525141088875
REACTOME.32....Influenza.Life.Cycle (X-of-N): 0.31200793771242963
REACTOME.1....Metabolism.of.proteins (X-of-N): 0.30067835951512406
X_of_N_31 (X-of-N): 0.2989310544677651
REACTOME.8....Metabolism.of.RNA (X-of-N): 0.28135062016311335
X_of_N_25 (X-of-N): 0.27839439447181874
KEGG.57....AGE.RAGE.signaling.pathway.in.diabetic.complications (X-of-N): 0.2630074824637239
ACSN2.2....EMT_REGULATORS (X-of-N): 0.2525095381157856
X_of_N_32 (X-of-N): 0.2505424983132409
KEGG.81....Prostate.cancer (X-of-N): 0.2459332691517408
REACTOME.88....Cellular.response.to.heat.stress (X-of-N): 0.24350121541510444
X_of_N_27 (X-of-N): 0.23605357017290957
WikiPathways.22....Pancreatic.adenocarcinoma (X-of-N): 0.23447208802338926
WikiPathways.86....Factors.and.pathways.affecting.insulin.like.growth.factor..IGF1..Akt.signaling (X-of-N): 0.23155122066858635
X_of_N_26 (X-of-N): 0.21808784299094133
====================
Fold 0
X_of_N_28 (X-of-N): 13.175396583257292
X_of_N_9 (X-of-N): 10.708240323108177
X_of_N_15 (X-of-N): 5.669730899866591
X_of_N_35 (X-of-N): 5.205426219670804
X_of_N_8 (X-of-N): 4.904364494445912
X_of_N_37 (X-of-N): 3.3870439263270473
X_of_N_11 (X-of-N): 2.2815939619508665
WikiPathways.3....MAPK.Signaling (X-of-N): 1.3246316772986955
KEGG.97....Lysosome (X-of-N): 1.3174114861607413
X_of_N_5 (X-of-N): 1.2513197937210483
SMPDB.112....Acetaminophen.Metabolism.Pathway (X-of-N): 1.15806082980364
X_of_N_13 (X-of-N): 1.1141807362996357
ACSN2.22....ER_STRESS (X-of-N): 1.0442481675581812
ACSN2.3....OXIDATIVE_PHOSPHOYLATION_AND_TCA_CYCLE (X-of-N): 0.973035971196342
REACTOME.250....Endosomal.Sorting.Complex.Required.For.Transport..ESCRT. (X-of-N): 0.8928117966985459
X_of_N_32 (X-of-N): 0.8325268710323089
X_of_N_18 (X-of-N): 0.7907212770203201
systems.biology.org.1....beta_cell_v2.3 (X-of-N): 0.7851539094671715
X_of_N_3 (X-of-N): 0.7613970747318862
X_of_N_10 (X-of-N): 0.6846666162044254
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 0.6727807663119542
WikiPathways.14....Integrated.Breast.Cancer (X-of-N): 0.6622754080200006
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.6336807404397046
X_of_N_26 (X-of-N): 0.6242362525189912
Panther_Pathway.12....Apoptosis_signaling (X-of-N): 0.6132519318224099
KEGG.154....Arachidonic.acid.metabolism (X-of-N): 0.6019672697091866
KEGG.179....Phenylalanine.metabolism (X-of-N): 0.5758537418344625
X_of_N_12 (X-of-N): 0.5367412998900308
REACTOME.235....Ion.homeostasis (X-of-N): 0.5087699969990328
X_of_N_7 (X-of-N): 0.508392469220053
KEGG.57....AGE.RAGE.signaling.pathway.in.diabetic.complications (X-of-N): 0.47361211487267546
KEGG.162....Legionellosis (X-of-N): 0.45593216576944007
IPAVS.1....ANG_II_and_JAK_STAT_interactions_in_mediating_cardiac_myocyte_function (X-of-N): 0.44151208371612966
X_of_N_30 (X-of-N): 0.4116354996547838
X_of_N_25 (X-of-N): 0.40759253385907424
EHMN.5....Arachidonic.acid.metabolism (X-of-N): 0.3757551436467178
REACTOME.56....RAF.MAP.kinase.cascade (X-of-N): 0.35852105090985276
INOH.10....Tryptophan.degradation (X-of-N): 0.35263949462305905
REACTOME.49....Axon.guidance (X-of-N): 0.34143061817187487
REACTOME.54....MAPK1.MAPK3.signaling (X-of-N): 0.33865306160369424
REACTOME.289....Xenobiotics (X-of-N): 0.33401065542831443
X_of_N_20 (X-of-N): 0.32802139526227597
X_of_N_6 (X-of-N): 0.3268303714400539
WikiPathways.23....Ciliary.landscape (X-of-N): 0.3169310360806268
X_of_N_23 (X-of-N): 0.3030702920379305
NetPath.21....IL.7 (X-of-N): 0.3017891907097696
X_of_N_19 (X-of-N): 0.30057162456939807
WikiPathways.24....Epithelial.to.mesenchymal.transition.in.colorectal.cancer (X-of-N): 0.2970738027419712
SIGNOR2.0.9....SIGNOR.TC (X-of-N): 0.2934931014075375
NetPath.2....TCR (X-of-N): 0.29096572721706865
====================
Fold 1
X_of_N_23 (X-of-N): 27.95616200572973
X_of_N_20 (X-of-N): 8.210938385747033
REACTOME....Metabolism (X-of-N): 4.007835364809558
X_of_N_3 (X-of-N): 3.856245570250863
X_of_N_25 (X-of-N): 3.518378019692346
X_of_N_37 (X-of-N): 3.3025416573130144
X_of_N_14 (X-of-N): 2.530646391321259
X_of_N_39 (X-of-N): 2.350148192943215
X_of_N_41 (X-of-N): 2.0630319938551795
X_of_N_36 (X-of-N): 1.8272828145877964
X_of_N_13 (X-of-N): 1.6969828843954435
X_of_N_8 (X-of-N): 1.2532685539220476
X_of_N_19 (X-of-N): 1.1286442232461809
X_of_N_38 (X-of-N): 0.9524600625641804
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 0.9465962520909175
X_of_N_35 (X-of-N): 0.908444180015563
X_of_N_12 (X-of-N): 0.7606386938989681
X_of_N_18 (X-of-N): 0.7282134966382401
KEGG.180....Ubiquinone.and.other.terpenoid.quinone.biosynthesis (X-of-N): 0.6966694305156409
X_of_N_4 (X-of-N): 0.6272359004519013
X_of_N_33 (X-of-N): 0.6025756240991365
X_of_N_16 (X-of-N): 0.5952269461935757
X_of_N_31 (X-of-N): 0.5859562668401839
X_of_N_17 (X-of-N): 0.5730833598233791
X_of_N_10 (X-of-N): 0.5597366699735281
WikiPathways.37....NRF2 (X-of-N): 0.5206925957463573
REACTOME.56....RAF.MAP.kinase.cascade (X-of-N): 0.5182797654057082
X_of_N_28 (X-of-N): 0.4842036888713821
KEGG.162....Legionellosis (X-of-N): 0.4697066496073193
X_of_N_34 (X-of-N): 0.40847255286416684
INOH.10....Tryptophan.degradation (X-of-N): 0.4041491368733325
X_of_N_30 (X-of-N): 0.3570558203494983
Panther_Pathway.12....Apoptosis_signaling (X-of-N): 0.3543017227918976
X_of_N_32 (X-of-N): 0.3395310893902958
X_of_N_5 (X-of-N): 0.3381993260304238
systems.biology.org....Macrophage_Map_Update_ver2_re (X-of-N): 0.33566362437789293
OntoCancro....Expanded.Apoptosis (X-of-N): 0.3350812864580562
X_of_N_6 (X-of-N): 0.31481405961001363
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 0.30947791651524553
REACTOME.38....Nonsense.Mediated.Decay..NMD..independent.of.the.Exon.Junction.Complex..EJC. (X-of-N): 0.3051691718693821
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.30470942293148257
X_of_N_29 (X-of-N): 0.30180573131616795
X_of_N_2 (X-of-N): 0.28262456674827857
X_of_N_9 (X-of-N): 0.2754442665069094
HumanCyc.12....NAD..i.de.novo..i..biosynthesis (X-of-N): 0.27118882799817606
WikiPathways.82....Tryptophan.metabolism (X-of-N): 0.2663806004383342
WikiPathways.3....MAPK.Signaling (X-of-N): 0.26193720514347224
X_of_N_7 (X-of-N): 0.26181279614052844
ACSN2.22....ER_STRESS (X-of-N): 0.2530012297378772
REACTOME.235....Ion.homeostasis (X-of-N): 0.2389275927378888
====================
Fold 2
X_of_N_37 (X-of-N): 20.501105169915647
X_of_N_14 (X-of-N): 13.177285786341375
X_of_N_13 (X-of-N): 5.478183394073758
X_of_N_8 (X-of-N): 3.667846920457606
X_of_N_26 (X-of-N): 3.627482493328795
X_of_N_17 (X-of-N): 2.9406655760766083
REACTOME....Metabolism (X-of-N): 1.471937232738304
X_of_N_15 (X-of-N): 1.3240517765743947
X_of_N_2 (X-of-N): 1.2630794400186551
Panther_Pathway.12....Apoptosis_signaling (X-of-N): 1.2039111625860006
X_of_N_6 (X-of-N): 0.9962027213493302
X_of_N_28 (X-of-N): 0.9857369920273779
X_of_N_41 (X-of-N): 0.8789367022879656
X_of_N_25 (X-of-N): 0.8388160410929804
REACTOME.12....Metabolism.of.lipids (X-of-N): 0.8325880498464271
X_of_N_24 (X-of-N): 0.7501334080328153
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.6599367326628967
X_of_N_35 (X-of-N): 0.6540441486944418
X_of_N_42 (X-of-N): 0.6408835037260054
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 0.6253186565841136
SMPDB.44....Disulfiram.Action.Pathway (X-of-N): 0.5905672161112313
systems.biology.org.1....beta_cell_v2.3 (X-of-N): 0.5617283469692183
X_of_N_39 (X-of-N): 0.5429783695969153
WikiPathways.24....Epithelial.to.mesenchymal.transition.in.colorectal.cancer (X-of-N): 0.5235694509741263
Panther_Pathway.47....TCA_cycle (X-of-N): 0.5234898863170924
X_of_N_7 (X-of-N): 0.48774667799161087
X_of_N_12 (X-of-N): 0.48762995671662157
X_of_N_10 (X-of-N): 0.4783199565115208
REACTOME.30....L13a.mediated.translational.silencing.of.Ceruloplasmin.expression (X-of-N): 0.46153693116407546
X_of_N_38 (X-of-N): 0.45863859133646045
KEGG.162....Legionellosis (X-of-N): 0.4558312510098321
systems.biology.org.6....EGFR_signaling_for_RTKC (X-of-N): 0.4553202956493582
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 0.44294897314368004
OntoCancro....Expanded.Apoptosis (X-of-N): 0.42490649021345406
WikiPathways.23....Ciliary.landscape (X-of-N): 0.42205276946887604
X_of_N_36 (X-of-N): 0.4101586945460583
X_of_N_33 (X-of-N): 0.38791083095692214
WikiPathways.69....Parkin.Ubiquitin.Proteasomal.System (X-of-N): 0.38494312783197526
KEGG.41....Focal.adhesion (X-of-N): 0.3838642016732007
KEGG.15....Proteoglycans.in.cancer (X-of-N): 0.3820084459046618
X_of_N_11 (X-of-N): 0.3744374417617222
X_of_N_4 (X-of-N): 0.36672036616012227
REACTOME.11....Infectious.disease (X-of-N): 0.3652722808254004
REACTOME.18....Signaling.by.Interleukins (X-of-N): 0.3450663131123665
KEGG.154....Arachidonic.acid.metabolism (X-of-N): 0.3400823817824141
REACTOME.57....Fc.epsilon.receptor..FCERI..signaling (X-of-N): 0.3392573156020828
X_of_N_43 (X-of-N): 0.33612440724308423
KEGG.1....Thermogenesis (X-of-N): 0.3347571814295582
SMPDB.112....Acetaminophen.Metabolism.Pathway (X-of-N): 0.3276550064851106
X_of_N_1 (X-of-N): 0.32640498387579864
====================
Fold 3
X_of_N_3 (X-of-N): 23.753123205499502
X_of_N_22 (X-of-N): 17.236055581535183
X_of_N_27 (X-of-N): 8.529867502806725
X_of_N_21 (X-of-N): 4.003133384650519
REACTOME....Metabolism (X-of-N): 2.4330802148049786
X_of_N_19 (X-of-N): 2.175024766807572
X_of_N_16 (X-of-N): 1.7061366338227222
WikiPathways.23....Ciliary.landscape (X-of-N): 1.6551196198307656
X_of_N_28 (X-of-N): 1.5678244191216053
REACTOME.8....Metabolism.of.RNA (X-of-N): 1.4075828531999208
X_of_N_2 (X-of-N): 1.347707045639494
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 1.0921601017940261
X_of_N_26 (X-of-N): 1.0801591303478217
X_of_N_4 (X-of-N): 0.9955352875649405
REACTOME.11....Infectious.disease (X-of-N): 0.9050250457594711
X_of_N_32 (X-of-N): 0.8357688125710471
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.7503826611922083
X_of_N_13 (X-of-N): 0.7088490048987198
KEGG.57....AGE.RAGE.signaling.pathway.in.diabetic.complications (X-of-N): 0.6093608946899819
OntoCancro.1....Apoptosis (X-of-N): 0.4875349365224476
X_of_N_8 (X-of-N): 0.485068088915969
systems.biology.org.1....beta_cell_v2.3 (X-of-N): 0.458533322406537
X_of_N_17 (X-of-N): 0.4417897928267472
REACTOME.71....Fatty.acid.metabolism (X-of-N): 0.4282480391671668
X_of_N_11 (X-of-N): 0.39223878652035754
REACTOME.88....Cellular.response.to.heat.stress (X-of-N): 0.38408979822964867
UniProt_Pathways....Carbohydrate.metabolism...tricarboxylic.acid.cycle (X-of-N): 0.37920518159523986
systems.biology.org.5....Toll.Like_receptor_signaling_network (X-of-N): 0.3772703722128578
X_of_N_15 (X-of-N): 0.37211858322826324
X_of_N_7 (X-of-N): 0.35671425164663834
REACTOME.12....Metabolism.of.lipids (X-of-N): 0.3520849795404845
X_of_N_18 (X-of-N): 0.3461258568273351
X_of_N_31 (X-of-N): 0.3400406294614656
WikiPathways.16....Focal.Adhesion (X-of-N): 0.31607603078222785
X_of_N_12 (X-of-N): 0.3159070092456571
REACTOME.121....Regulation.of.HSF1.mediated.heat.shock.response (X-of-N): 0.30779022282096624
X_of_N_9 (X-of-N): 0.30494958785702514
SMPDB.112....Acetaminophen.Metabolism.Pathway (X-of-N): 0.2745263281702267
X_of_N_25 (X-of-N): 0.2694421924235506
X_of_N_20 (X-of-N): 0.26363030449896063
REACTOME.56....RAF.MAP.kinase.cascade (X-of-N): 0.2610027814400094
REACTOME.67....REACTOME (X-of-N): 0.2599465306922512
WikiPathways.41....Oncostatin.M.Signaling (X-of-N): 0.2475735380965419
ACSN2.22....ER_STRESS (X-of-N): 0.24656263308537182
REACTOME.27....rRNA.processing (X-of-N): 0.22775826143179542
ACSN2.19....MITOCHONDRIAL_GENES (X-of-N): 0.22646131801929872
X_of_N_24 (X-of-N): 0.22574221768830888
WikiPathways.45....Integrin.mediated.Cell.Adhesion (X-of-N): 0.2255698730199279
Panther_Pathway.47....TCA_cycle (X-of-N): 0.20877314532523422
WikiPathways.69....Parkin.Ubiquitin.Proteasomal.System (X-of-N): 0.20865086759457027
====================
Fold 4
X_of_N_12 (X-of-N): 13.24662929724554
X_of_N_21 (X-of-N): 10.6260908260441
X_of_N_15 (X-of-N): 4.187977519274949
X_of_N_40 (X-of-N): 3.343563991540462
X_of_N_3 (X-of-N): 2.8651031591780707
REACTOME.42....MAPK.family.signaling.cascades (X-of-N): 2.597306261734515
X_of_N_8 (X-of-N): 2.5726383700489706
X_of_N_33 (X-of-N): 2.2387402467783453
X_of_N_22 (X-of-N): 2.09624761153637
X_of_N_41 (X-of-N): 2.0610425294059485
X_of_N_9 (X-of-N): 1.8030218634385453
X_of_N_1 (X-of-N): 1.5801906119539788
X_of_N_20 (X-of-N): 1.5783149675221555
X_of_N_11 (X-of-N): 1.5770512243737778
WikiPathways.89....Integrated.Cancer (X-of-N): 0.9995966863032963
X_of_N_32 (X-of-N): 0.9372753441691433
X_of_N_14 (X-of-N): 0.9036991764290244
X_of_N_39 (X-of-N): 0.8797154260377597
X_of_N_29 (X-of-N): 0.8772716213809398
X_of_N_7 (X-of-N): 0.8464889242352414
X_of_N_38 (X-of-N): 0.8135666974226965
WikiPathways.21....Electron.Transport.Chain..OXPHOS.system.in.mitochondria. (X-of-N): 0.8052481186613952
X_of_N_23 (X-of-N): 0.759461409052511
REACTOME.9....Transport.of.small.molecules (X-of-N): 0.7454416384544521
X_of_N_10 (X-of-N): 0.7264404390838728
REACTOME....Metabolism (X-of-N): 0.7159907817445698
X_of_N_42 (X-of-N): 0.6910107214897554
REACTOME.49....Axon.guidance (X-of-N): 0.6571046736898694
WikiPathways.3....MAPK.Signaling (X-of-N): 0.6493726086593431
X_of_N_2 (X-of-N): 0.6384530884885479
X_of_N_26 (X-of-N): 0.6298096770234994
WikiPathways.23....Ciliary.landscape (X-of-N): 0.6202012330609271
X_of_N_25 (X-of-N): 0.6172802018698262
X_of_N_35 (X-of-N): 0.6110139006239855
X_of_N_24 (X-of-N): 0.5632447590822229
X_of_N_34 (X-of-N): 0.5129931734681834
X_of_N_19 (X-of-N): 0.5000887127740443
X_of_N_17 (X-of-N): 0.4904783445066405
X_of_N_30 (X-of-N): 0.45933225671760214
X_of_N_27 (X-of-N): 0.45875563518655166
REACTOME.52....Deubiquitination (X-of-N): 0.43352963019375584
X_of_N_44 (X-of-N): 0.42521886731562536
REACTOME.26....Influenza.Infection (X-of-N): 0.40122075317227474
X_of_N_37 (X-of-N): 0.3940431384096391
X_of_N_13 (X-of-N): 0.3776587260367636
REACTOME.11....Infectious.disease (X-of-N): 0.361793780416895
REACTOME.56....RAF.MAP.kinase.cascade (X-of-N): 0.33983388837245415
OntoCancro....Expanded.Apoptosis (X-of-N): 0.33581855591516874
REACTOME.54....MAPK1.MAPK3.signaling (X-of-N): 0.3323072745475543
KEGG.175....One.carbon.pool.by.folate (X-of-N): 0.3017448740973115
====================
Fold 5
X_of_N_16 (X-of-N): 13.270605526045903
X_of_N_7 (X-of-N): 8.287902294440608
X_of_N_34 (X-of-N): 6.1371177098721885
X_of_N_44 (X-of-N): 6.071240491365679
X_of_N_23 (X-of-N): 4.709049551138735
X_of_N_38 (X-of-N): 3.420603739985855
X_of_N_1 (X-of-N): 2.907552126425717
X_of_N_27 (X-of-N): 2.7824754613421043
X_of_N_20 (X-of-N): 1.9770664106829485
X_of_N_32 (X-of-N): 1.9316387165779108
X_of_N_17 (X-of-N): 1.9171353492547853
X_of_N_5 (X-of-N): 1.909147073283553
X_of_N_18 (X-of-N): 1.6213772122440497
X_of_N_12 (X-of-N): 1.5862793263589854
X_of_N_6 (X-of-N): 1.4317587405332897
X_of_N_21 (X-of-N): 1.2402015699109645
X_of_N_40 (X-of-N): 1.1551511960936407
WikiPathways.23....Ciliary.landscape (X-of-N): 1.1312359720244562
X_of_N_15 (X-of-N): 1.01789719942375
X_of_N_45 (X-of-N): 0.7792346134610361
X_of_N_2 (X-of-N): 0.7681437913167461
X_of_N_37 (X-of-N): 0.7165314270688784
X_of_N_24 (X-of-N): 0.7137850860637849
X_of_N_3 (X-of-N): 0.6041446735565652
